material;modelo;color;genero;categoria;descripcion;por_pedir;en_bodega;en_transito
1032341;TARGHEE APEX MID WP WIDE;DARK OLIVE/KHAKI;MEN;;TARGHEE APEX MID WP WIDE M-DARK OLIVE/KH;389;0;0
1032784;UNEEK TREKKER;MEDITERRANEA/ROOIBOS TEA;MEN;;UNEEK TREKKER M-MEDITERRANEA/ROOIBOS TEA;386;0;0
1031835;HIGHTRAIL MID WP;SAFARI/STEEL GREY;MEN;;HIGHTRAIL MID WP M-SAFARI/STEEL GREY;384;0;0
1004156;PYRENEES;SYRUP;WOMEN;;PYRENEES W-SYRUP;384;0;0
1029437;HOWSER III SLIDE;PLAZA TAUPE/BLACK;WOMEN;;HOWSER III SLIDE W-PLAZA TAUPE/BLACK;380;0;0
1031778;TARGHEE IV WP;ABBEY STONE/LILY PAD;WOMEN;;TARGHEE IV WP W-ABBEY STONE/LILY PAD;379;0;0
1031781;TARGHEE IV WP;JAVA/BISON;MEN;;TARGHEE IV WP M-JAVA/BISON;376;0;0
1031703;ELLE BACKSTRAP;GARNET/BIRCH;WOMEN;;ELLE BACKSTRAP W-GARNET/BIRCH;375;0;0
1031045;HOWSER III SLIDE;MAGNET/BIRCH;WOMEN;;HOWSER III SLIDE W-MAGNET/BIRCH;366;0;0
1030623;KNX T-TOE;BIRCH/PLAZA TAUPE;MEN;;KNX T-TOE M-BIRCH/PLAZA TAUPE;366;0;0
1032971;TARGHEE II MID WP WIDE;BLACK OLIVE/CHIPMUNK;MEN;;TARGHEE II MID WP WIDE M-BLACK OLIVE/CHI;366;0;0
1031834;HIGHTRAIL MID WP;SAFARI/BLACK;MEN;;HIGHTRAIL MID WP M-SAFARI/BLACK;361;0;0
1032940;JASPER;ALLOY/BIRCH;WOMEN;;JASPER W-ALLOY/BIRCH;360;0;0
1032812;BALI TG LTR;MESA GLOW;WOMEN;;BALI TG LTR W-MESA GLOW;358;0;0
1029017;TARGHEE IV MID WP WIDE;BRINDLE/NOSTALGIA ROSE;WOMEN;;TARGHEE IV MID WP WIDE W-BRINDLE/NOSTALG;358;0;0
1029129;WAIMEA TG;BLACK/BLACK;MEN;;WAIMEA TG M-BLACK/BLACK;356;0;0
1018822;NEWPORT RETRO;ORIGINAL TIE DYE;WOMEN;;NEWPORT RETRO W-ORIGINAL TIE DYE;355;0;0
1032053;TARGHEE APEX MID WP;BLACK/GOLDEN CYPRESS;MEN;;TARGHEE APEX MID WP M-BLACK/GOLDEN CYPRE;352;0;0
1032032;TARGHEE APEX WP;DARK OLIVE/KHAKI;MEN;;TARGHEE APEX WP M-DARK OLIVE/KHAKI;351;0;0
1031844;HIGHTRAIL WP;SAFARI/ROASTED PECAN;MEN;;HIGHTRAIL WP M-SAFARI/ROASTED PECAN;350;0;0
1031910;HYPERPORT H2;PINK LEMONADE/PEACH FUZZ;YOUTH;;HYPERPORT H2 Y-PINK LEMONADE/PEACH FUZZ;350;0;0
1032742;HYPOWSER CHUKKA WP;FOREST NIGHT/GARNET;YOUTH;;HYPOWSER CHUKKA WP Y-FOREST NIGHT/GARNET;350;0;0
1031287;KS86;BIRCH/STAR WHITE;YOUTH;;KS86 Y-BIRCH/STAR WHITE;350;0;0
1032289;HIGHTRAIL MID WP;MAGNET/BURNT BRICK;MEN;;HIGHTRAIL MID WP M-MAGNET/BURNT BRICK;349;0;0
1032022;JASPER ZIONIC;SAFARI/WAX YELLOW;YOUTH;;JASPER ZIONIC Y-SAFARI/WAX YELLOW;348;0;0
1032740;HYPOWSER CHUKKA WP;CHIPMUNK/BALTIC;YOUTH;;HYPOWSER CHUKKA WP Y-CHIPMUNK/BALTIC;347;0;0
1008418;TARGHEE II MID WP;SHITAKE/BRINDLE;MEN;;TARGHEE II MID WP M-SHITAKE/BRINDLE;347;0;0
1032647;JASPER ZIONIC;ABBEY STONE/LILY PAD;MEN;;JASPER ZIONIC M-ABBEY STONE/LILY PAD;346;0;0
1031137;ZIONIC MID WP;NAVAL ACADEMY/NASTURTIUM;YOUTH;;ZIONIC MID WP Y-NAVAL ACADEMY/NASTURTIUM;341;0;0
1030703;HIGHTRAIL MID WP;DARK EARTH/OAK BUFF;MEN;;HIGHTRAIL MID WP M-DARK EARTH/OAK BUFF;335;3;0
1028863;UNEEK;MAGNET/STEEL GREY;MEN;;UNEEK M-MAGNET/STEEL GREY;333;0;0
1029140;NEWPORT H2;NAVAL ACADEMY/KEEN YELLOW;YOUTH;;NEWPORT H2 Y-NAVAL ACADEMY/KEEN YELLOW;329;0;0
1032636;TARGHEE IV MID WP;PLAZA TAUPE/HUCKLEBERRY;WOMEN;;TARGHEE IV MID WP W-PLAZA TAUPE/HUCKLEBE;320;0;0
1032219;HIGHTRAIL MID WP;PURPLE HAZE/THISTLE;YOUTH;;HIGHTRAIL MID WP Y-PURPLE HAZE/THISTLE;319;0;0
1027291;UNEEK ASTORIA;BIRCH/SILVER BIRCH;WOMEN;;UNEEK ASTORIA W-BIRCH/SILVER BIRCH;319;0;0
1032120;WHISPER;LILY PAD;WOMEN;;WHISPER W-LILY PAD;318;0;0
1032621;HOWSER III SLIDE;FRONTIER FLANNEL BRINDLE;MEN;;HOWSER III SLIDE M-FRONTIER FLANNEL BRIN;317;0;0
1031149;KOSA CHELSEA;BRINDLE/BLACK;WOMEN;;KOSA CHELSEA W-BRINDLE/BLACK;317;0;0
1032553;JASPER MERKO;BIRCH/PLAZA TAUPE;MEN;;JASPER MERKO M-BIRCH/PLAZA TAUPE;316;0;0
1030399;JASPER ZIONIC;SAFARI/GIGGLE PINK;WOMEN;;JASPER ZIONIC W-SAFARI/GIGGLE PINK;314;3;0
1032796;JASPER ZIONIC WP;STEEL GREY/BLACK;MEN;;JASPER ZIONIC WP M-STEEL GREY/BLACK;313;0;0
1032937;NEWPORT H2;GRADIENT VAPOR;WOMEN;;NEWPORT H2 W-GRADIENT VAPOR;313;0;0
1026259;JASPER;BRINDLE/TILLANDSIA PURPLE;WOMEN;;JASPER W-BRINDLE/TILLANDSIA PURPLE;312;0;0
1029827;TARGHEE IV WP;TRIPLE BLACK;MEN;;TARGHEE IV WP M-TRIPLE BLACK;308;0;0
1030511;HIGHTRAIL WP WIDE;BRINDLE/BIRCH;MEN;;HIGHTRAIL WP WIDE M-BRINDLE/BIRCH;307;3;0
1032811;TARGHEE APEX MID WP WIDE;ALLOY/BLACK;MEN;;TARGHEE APEX MID WP WIDE M-ALLOY/BLACK;302;0;0
1032072;HIGHTRAIL MID WP;DARK OLIVE/MARTINI OLIVE;CHILDREN;;HIGHTRAIL MID WP C-DARK OLIVE/MARTINI OL;300;0;0
1032066;HIGHTRAIL WP;BIRCH/DAFFODIL;CHILDREN;;HIGHTRAIL WP C-BIRCH/DAFFODIL;300;0;0
1032067;HIGHTRAIL WP;BRINDLE/OAK BUFF;CHILDREN;;HIGHTRAIL WP C-BRINDLE/OAK BUFF;300;0;0
1032069;HIGHTRAIL WP;VINTAGE INDIGO/ALLOY;CHILDREN;;HIGHTRAIL WP C-VINTAGE INDIGO/ALLOY;300;0;0
1031923;HYPERPORT H2;NAVAL ACADEMY/VIBRANT GREEN;CHILDREN;;HYPERPORT H2 C-NAVAL ACADEMY/VIBRANT GRE;300;0;0
1032060;JASPER ZIONIC;SAFARI/WAX YELLOW;CHILDREN;;JASPER ZIONIC C-SAFARI/WAX YELLOW;300;0;0
1031284;KS86;BIRCH/STAR WHITE;CHILDREN;;KS86 C-BIRCH/STAR WHITE;300;0;0
1018363;MOXIE SANDAL;SILVER;CHILDREN;;MOXIE SANDAL C-SILVER;300;0;0
1029804;TARGHEE IV LOW WP;REEF WATERS/DAIQUIRI GREEN;CHILDREN;;TARGHEE IV LOW WP C-REEF WATERS/DAIQUIRI;300;0;0
1029613;TARGHEE IV MID WP;ALLOY/GRANITE GREEN;CHILDREN;;TARGHEE IV MID WP C-ALLOY/GRANITE GREEN;300;0;0
1032658;TARGHEE IV MID WP;MEDITERRANEA/FLAME ORANGE;CHILDREN;;TARGHEE IV MID WP C-MEDITERRANEA/FLAME O;300;0;0
1032020;JASPER ZIONIC;CASHMERE ROSE/GIGGLE PINK;YOUTH;;JASPER ZIONIC Y-CASHMERE ROSE/GIGGLE PIN;298;0;0
1025550;HOWSER III SLIDE;CHARCOAL GREY FELT/BLACK;MEN;;HOWSER III SLIDE M-CHARCOAL GREY FELT/BL;297;0;0
1031271;KNX T-TOE DS;LILAS/STAR WHITE;CHILDREN;;KNX T-TOE DS C-LILAS/STAR WHITE;297;0;0
1029147;KONA FLIP TG;BLACK/VAPOR;WOMEN;;KONA FLIP TG W-BLACK/VAPOR;296;0;0
1032634;TARGHEE IV MID WP;TUMBLED JAVA;MEN;;TARGHEE IV MID WP M-TUMBLED JAVA;296;0;0
1032790;UNEEK TREKKER;HUCKLEBERRY/LEMON GRASS;WOMEN;;UNEEK TREKKER W-HUCKLEBERRY/LEMON GRASS;294;0;0
1032788;UNEEK TREKKER;VIOLET QUARTZ/AQUIFER;WOMEN;;UNEEK TREKKER W-VIOLET QUARTZ/AQUIFER;294;0;0
1018441;NEWPORT H2;RAINBOW TIE DYE;YOUTH;;NEWPORT H2 Y-RAINBOW TIE DYE;291;0;0
1031922;HYPERPORT H2;BRIGHT AQUA/WAX YELLOW;CHILDREN;;HYPERPORT H2 C-BRIGHT AQUA/WAX YELLOW;290;0;0
1031991;HYPERFLT;PURPLE HAZE/PEACH FUZZ;CHILDREN;;HYPERFLT C-PURPLE HAZE/PEACH FUZZ;288;0;0
1028832;MOXIE SANDAL;NOSTALGIA ROSE/PAPAYA PUNCH;CHILDREN;;MOXIE SANDAL C-NOSTALGIA ROSE/PAPAYA PUN;287;0;0
1032832;HYPOWSER CHUKKA WP;FOREST NIGHT/GARNET;CHILDREN;;HYPOWSER CHUKKA WP C-FOREST NIGHT/GARNET;286;0;0
