material;modelo;color;genero;categoria;descripcion;por_pedir;en_bodega;en_transito
1032733;JASPER ZIONIC;VIOLET QUARTZ VELOUR;YOUTH;;JASPER ZIONIC Y-VIOLET QUARTZ VELOUR;228;0;0
1032119;NEWPORT H2;TRI-BLOCK BIRCH;WOMEN;;NEWPORT H2 W-TRI-BLOCK BIRCH;228;0;0
1032735;JASPER ZIONIC;NAVAL ACADEMY/FLAME ORANGE;YOUTH;;JASPER ZIONIC Y-NAVAL ACADEMY/FLAME ORAN;225;0;0
1030828;KNX T-TOE DS;BLACK/STAR WHITE;CHILDREN;;KNX T-TOE DS C-BLACK/STAR WHITE;215;0;0
1030768;SEACAMP II CNX;MOONLITE MAUVE/GIGGLE PINK;YOUTH;;SEACAMP II CNX Y-MOONLITE MAUVE/GIGGLE P;215;0;0
1032058;JASPER ZIONIC;BRONZE GREEN/EVENING PRIMROSE;CHILDREN;;JASPER ZIONIC C-BRONZE GREEN/EVENING PRI;214;0;0
1031915;HYPERPORT H2;NAVAL ACADEMY/VIBRANT GREEN;YOUTH;;HYPERPORT H2 Y-NAVAL ACADEMY/VIBRANT GRE;212;0;0
1028850;SEACAMP II CNX;CORONET BLUE/HOT PINK;YOUTH;;SEACAMP II CNX Y-CORONET BLUE/HOT PINK;208;0;0
1032063;HIGHTRAIL WP;BRINDLE/OAK BUFF;YOUTH;;HIGHTRAIL WP Y-BRINDLE/OAK BUFF;207;0;0
1031927;HYPERPORT H2;NAVAL ACADEMY/VIBRANT GREEN;TOTS;;HYPERPORT H2 T-NAVAL ACADEMY/VIBRANT GRE;200;0;0
1031924;HYPERPORT H2;PINK LEMONADE/PEACH FUZZ;TOTS;;HYPERPORT H2 T-PINK LEMONADE/PEACH FUZZ;200;0;0
1031393;KNX T-TOE DS;LILAS/STAR WHITE;TOTS;;KNX T-TOE DS T-LILAS/STAR WHITE;200;0;0
1032002;HYPERFLT;BRONZE GREEN/ORANGE PEEL;TOTS;;HYPERFLT T-BRONZE GREEN/ORANGE PEEL;191;0;0
1032003;HYPERFLT;AZURE BLUE/DAFFODIL;TOTS;;HYPERFLT T-AZURE BLUE/DAFFODIL;159;0;0
1008419;ARROYO II;BLACK OLIVE/BOMBAY BROWN;MEN;;ARROYO II M-BLACK OLIVE/BOMBAY BROWN;0;9;0
1027139;ARROYO II;CANTEEN/BLACK;MEN;;ARROYO II M-CANTEEN/BLACK;0;5;0
1002990;AUSTIN;BLACK;MEN;;AUSTIN M-BLACK;0;2;0
1007722;AUSTIN;CHOCOLATE BROWN;MEN;;AUSTIN M-CHOCOLATE BROWN;0;2;0
1030508;HIGHTRAIL MID WP WIDE;BRINDLE/OAK BUFF;MEN;;HIGHTRAIL MID WP WIDE M-BRINDLE/OAK BUFF;0;3;0
1030352;HIGHTRAIL WP;BRINDLE/BIRCH;MEN;;HIGHTRAIL WP M-BRINDLE/BIRCH;0;8;0
1032297;HIGHTRAIL WP;MAGNET/ALLOY;MEN;;HIGHTRAIL WP M-MAGNET/ALLOY;0;2;0
1029441;HOWSER III SLIDE;BLACK/BLACK RECYCLED;MEN;;HOWSER III SLIDE M-BLACK/BLACK RECYCLED;0;3;0
1030723;HYPERPORT FISHERMAN LEATHER;BRINDLE/OA;MEN;;HYPERPORT FISHERMAN LEATHER M-BRINDLE/OA;0;3;0
1030722;HYPERPORT FISHERMAN LEATHER;DARK OLIVE;MEN;;HYPERPORT FISHERMAN LEATHER M-DARK OLIVE;0;3;0
1031802;KS86;ALLOY/CAMEO ROSE;WOMEN;;KS86 W-ALLOY/CAMEO ROSE;0;2;0
1031804;KS86;SKY CAPTAIN/BIRCH;WOMEN;;KS86 W-SKY CAPTAIN/BIRCH;0;3;0
1030777;KS86;STEEL GREY/ALLOY;MEN;;KS86 M-STEEL GREY/ALLOY;0;3;0
1011400;PRESIDIO;BLACK/MAGNET;WOMEN;;PRESIDIO W-BLACK/MAGNET;0;13;0
1011401;PRESIDIO;CASCADE/SHITAKE;WOMEN;;PRESIDIO W-CASCADE/SHITAKE;0;11;0
1030389;SEANIK H2;BLACK/MAGNET;MEN;;SEANIK H2 M-BLACK/MAGNET;0;3;0
1030387;SEANIK H2;FOREST NIGHT/DARK OLIVE;MEN;;SEANIK H2 M-FOREST NIGHT/DARK OLIVE;0;3;0
